file,instance_name,n,num_constraints,gamma,eta0_tuned,num_runs,all_converged_to_stationary,all_binary,all_feasible,all_strict_local_min_certified,any_saddle_evidence,avg_iterations,avg_runtime_sec,max_binarity_error,metadata
/egr/research-pac/huang248/higer_order_unit_packing/higher_order_pgd_sweep_results/random_unit/n20_m45_r4-7_half_s119.json,random_unit_n20_m45_half,20,45,1.9759978423188354,0.125,20,True,True,True,True,False,14.0,0.022871637344360353,0.0,"{""capacity_mode"": ""half"", ""generator"": ""random_unit_packing"", ""row_size_range"": [4, 7]}"
/egr/research-pac/huang248/higer_order_unit_packing/higher_order_pgd_sweep_results/random_unit/n20_m45_r4-7_mixed_s103.json,random_unit_n20_m45_mixed,20,45,2.075393756940559,0.125,20,True,True,True,True,False,16.05,0.026521968841552734,0.0,"{""capacity_mode"": ""mixed"", ""generator"": ""random_unit_packing"", ""row_size_range"": [4, 7]}"
/egr/research-pac/huang248/higer_order_unit_packing/higher_order_pgd_sweep_results/random_unit/n20_m45_r4-7_set_packing_s127.json,random_unit_n20_m45_set_packing,20,45,2.015313961428471,0.125,20,True,True,True,True,False,23.0,0.03101978302001953,0.0,"{""capacity_mode"": ""set_packing"", ""generator"": ""random_unit_packing"", ""row_size_range"": [4, 7]}"
/egr/research-pac/huang248/higer_order_unit_packing/higher_order_pgd_sweep_results/random_unit/n20_m45_r4-7_tight_s111.json,random_unit_n20_m45_tight,20,45,1.8940577412167152,0.5,20,True,True,True,True,False,8.15,0.015661454200744628,0.0,"{""capacity_mode"": ""tight"", ""generator"": ""random_unit_packing"", ""row_size_range"": [4, 7]}"
/egr/research-pac/huang248/higer_order_unit_packing/higher_order_pgd_sweep_results/random_unit/n30_m30_r3-5_half_s120.json,random_unit_n30_m30_half,30,30,1.9827978292742106,0.125,20,True,True,True,True,False,9.75,0.006786894798278808,0.0,"{""capacity_mode"": ""half"", ""generator"": ""random_unit_packing"", ""row_size_range"": [3, 5]}"
/egr/research-pac/huang248/higer_order_unit_packing/higher_order_pgd_sweep_results/random_unit/n30_m30_r3-5_mixed_s104.json,random_unit_n30_m30_mixed,30,30,2.064899310636186,0.125,20,True,True,True,True,False,9.85,0.0074008584022521974,0.0,"{""capacity_mode"": ""mixed"", ""generator"": ""random_unit_packing"", ""row_size_range"": [3, 5]}"
/egr/research-pac/huang248/higer_order_unit_packing/higher_order_pgd_sweep_results/random_unit/n30_m30_r3-5_set_packing_s128.json,random_unit_n30_m30_set_packing,30,30,2.0934190407582887,0.125,20,True,True,True,True,False,11.9,0.007606089115142822,0.0,"{""capacity_mode"": ""set_packing"", ""generator"": ""random_unit_packing"", ""row_size_range"": [3, 5]}"
/egr/research-pac/huang248/higer_order_unit_packing/higher_order_pgd_sweep_results/random_unit/n30_m30_r3-5_tight_s112.json,random_unit_n30_m30_tight,30,30,1.8986311085034804,0.5,20,True,True,True,True,False,7.15,0.006440365314483642,0.0,"{""capacity_mode"": ""tight"", ""generator"": ""random_unit_packing"", ""row_size_range"": [3, 5]}"
/egr/research-pac/huang248/higer_order_unit_packing/higher_order_pgd_sweep_results/random_unit/n30_m30_r4-7_half_s121.json,random_unit_n30_m30_half,30,30,2.0741368617229194,0.25,20,True,True,True,True,False,9.4,0.010009610652923584,0.0,"{""capacity_mode"": ""half"", ""generator"": ""random_unit_packing"", ""row_size_range"": [4, 7]}"
/egr/research-pac/huang248/higer_order_unit_packing/higher_order_pgd_sweep_results/random_unit/n30_m30_r4-7_mixed_s105.json,random_unit_n30_m30_mixed,30,30,2.0858762351016416,0.125,20,True,True,True,True,False,10.2,0.010238862037658692,0.0,"{""capacity_mode"": ""mixed"", ""generator"": ""random_unit_packing"", ""row_size_range"": [4, 7]}"
